ID,Comment,feedback
4,"Đặt 5 món ăn cho gia đình, giao 2 chén sup ăn cái gì, nhân viên thiếu logic suy luận.",0
5,"Đặt 2 phần gà 2 phần cơm thêm, giao thiếu 1 phần gà. Gọi lại k dc",0
7,"Mình với em gái mới ăn ở đây, thái độ nhân viên phục vụ tệ từ giữ xe tới order tới nv dọn bàn.Đồ ăn vừa ít vừa dở, không có một cái vị gì gọi là ra hồn, ăn như đấm vào mồm, không bao giờ quay lại một lần nào nữa🙂Nhất là cái canh kim chi mì ramen nó cứ lợ lợ không có vị mặn lẫn cay luôn, quá là chán🙂",0
102,Đặt đơn xác nhận được hơn 35 phút tài xế mới ra khỏi quán. Trễ hơn cả hẹn giao của shopeefood. Yêu cầu xem lại thái độ làm việc giao hàng cho khách,0
113,"MÌnh đã ủng hộ quán dc 6 năm nhưng lần đầu tiên gọi món thịt nướng ớt..
Rau thì hôi mùi lông*** thịt thì hôi ... bỏ 1 miếng vô mắc ói tới bỏ nguyên dĩa...

Quá sợ hãiiii !!!",0
126,"Mình đã ăn quán này nhiều lần cũng như nhiều lần đặt thức ăn ở đây qua app Now nhưng đây là lần đầu tiên mình xin một lý đá nhưng quán lại nói không! , Tiếc một lý đá để mất một vị khách 👎",0
234,"Chuỗi 4ps có thái độ rất chảnh một cách rất hách dịch và khó chịu, đặt bàn trc những ngày lễ hoặc cuối tuần luôn nhận thái độ và câu trả lời của nhân viên """"từ chối nhận bàn"""" """"từ chối nhận khách"""" đậu xanh. Lễ thì tất nhiên biết nhu cầu đi ăn uống bên ngoài đông, nhưng chuỗi lớn như golden gate, redsun chưa bao giờ có chất lượng phục vụ nhảm nhí vớ vẩn như nhân viên của 4ps. Yêu cầu nhà hàng đào tạo lại nhân viên.
Đã ăn thử 4ps ở q1, q2, saigon center, q7,q11 ,bình thạnh, aeon ...theo cảm nhận riêng thì basta hiro ngon hơn. Luôn cho 4ps cơ hội để thay đổi nhưng không, 4ps luôn làm tôi thất vọng. Dịch vụ thái độ luôn b.ố l.á.o thế nào ấy, nhất là những lúc muốn book bàn. Thấy cực kì phiền phức. Saigon k thiếu chỗ ăn
Không bao giờ quay lại. Đặc biệt Cửa hàng q1 và aeon dịch vụ thảm hại nhất.
Thái độ đậu xanh không cần khách thì cũng có ngày bay màu sớm thôi. Tiễn z.o.n.g
Chi phí cho 1 người ăn tại 4ps tầm 400k-500k
Tầm này ăn Hokkaido sushi thấy ok hơn.",0
254,"Mình đã dùng bữa tại 4p rất rất là nhiều lần. Và hầu như lần nào mình cũng rất thích từ món ăn, đặc biệt là phục vụ tại nhà hàng (chi nhánh HBT và Thảo Điền). Riêng cho tới ngày hôm qua, mình đặt bàn tại chi nhánh*** lúc 20:30 ngày 27/12.
CỰC KỲ THẤT VỌNG!!!

- Thứ nhất: Bất cứ lần nào mình sang HBT, quán đông nhưng đồ ăn mình luôn được serve theo thứ tự, đúng thời gian. Nhưng tại*** pizza mang ra cực kì chậm, nhân viên không hề chú ý tới bàn của mình, cho tới khi mình eye contact với 1 chị (có lẽ quản lý lầu), thì bạn mới được nhắc nhở NV trực khu đó để hối bếp. 
- Thứ hai: mình và bạn có thói quen ăn cực kì chậm, mình đã dặn bạn PV note lại ra LẦN LƯỢT mỗi pz, vì mình sợ sẽ bị nguội, ăn sẽ mất ngon. Nhưng không, mình không rõ do bạn Pv quên note hay bếp quên luôn bill của mình. Đã ra chậm còn lên CÙNG 1 LÚC 2 bánh!!
- Thứ ba: bàn mình trả bill bằng thẻ ngân hàng. TẠI SAO 4P CHARGED THẺ MÌNH 2X SỐ TIỀN???!!

Còn chưa kể mình đã đặt bàn rồi mà NV để mình đứng đợi siêu lâu❗️
KHÔNG BAO GIỜ ghé lần nào nữa.
 
Công ty kiểm tra lại vấn đề này và liên lạc ASAP cho mình. 
Cám ơn!",0
430,"Không hiểu sao khách yêu cầu xuất hoá đơn theo thông tin in trên namecard lại bắt khách phải gõ tay lại vào máy của nhà hàng với lý do sợ nhân viên nhà hàng nhập sai. Chưa từng thấy ở đâu yêu cầu như vậy, rất tiếc vì một bữa tối gần như hoàn hảo. Chi nhánh***nên xem lại cách làm việc không giống ai này",0
432,"Gọi điện đàng hoàng book bàn 8 người cho khách quan trọng tối thứ 7 7.15pm. Khách mình đến thì bảo không có bàn, còn bảo là bàn mình book vào ngày mai (???), nên không nhận khách mình, làm mình phải sắp xếp khách qua chỗ khách gần đó!
Lần đầu tiên trong đời bị vậy, thật không thể hiểu nổi cách làm dịch vụ 4Ps ngày càng tệ",0
